date,day,cumulative_confirmed
2020-02-20,0,3
2020-02-21,1,20
2020-02-22,2,62
2020-02-23,3,155
2020-02-24,4,229
2020-02-25,5,322
2020-02-26,6,453
2020-02-27,7,655
2020-02-28,8,888
2020-02-29,9,1128
2020-03-01,10,1694
2020-03-02,11,2036
2020-03-03,12,2502
2020-03-04,13,3089
2020-03-05,14,3858
2020-03-06,15,4636
2020-03-07,16,5883
2020-03-08,17,7375
2020-03-09,18,9172
2020-03-10,19,10149
2020-03-11,20,12462
2020-03-12,21,15113
2020-03-13,22,17660
2020-03-14,23,21157
2020-03-15,24,24747
2020-03-16,25,27980
2020-03-17,26,31506
2020-03-18,27,35713
2020-03-19,28,41035
2020-03-20,29,47021
2020-03-21,30,53578
2020-03-22,31,59138
2020-03-23,32,63927
2020-03-24,33,69176
2020-03-25,34,74386
2020-03-26,35,80589
2020-03-27,36,86498
2020-03-28,37,92472
2020-03-29,38,97689
2020-03-30,39,101739
2020-03-31,40,105792
2020-04-01,41,110574
2020-04-02,42,115242
2020-04-03,43,119827
2020-04-04,44,124632
2020-04-05,45,128948
2020-04-06,46,132547
2020-04-07,47,135586
2020-04-08,48,139422
2020-04-09,49,143626
2020-04-10,50,147577
2020-04-11,51,152271
2020-04-12,52,156363
2020-04-13,53,159516
2020-04-14,54,162488
2020-04-15,55,165155
2020-04-16,56,168941
2020-04-17,57,172434
2020-04-18,58,175925
2020-04-19,59,178972
2020-04-20,60,181228
2020-04-21,61,183957
2020-04-22,62,187327
2020-04-23,63,189973
2020-04-24,64,192994
2020-04-25,65,195351
2020-04-26,66,197675
2020-04-27,67,199414
2020-04-28,68,201505
2020-04-29,69,203591
2020-04-30,70,205463
2020-05-01,71,207428
2020-05-02,72,209328
2020-05-03,73,210717
2020-05-04,74,211938
2020-05-05,75,213013
2020-05-06,76,214457
2020-05-07,77,215858
2020-05-08,78,217185
2020-05-09,79,218268
2020-05-10,80,219070
2020-05-11,81,219814
2020-05-12,82,221216
2020-05-13,83,222104
2020-05-14,84,223096
2020-05-15,85,223885
2020-05-16,86,224760
2020-05-17,87,225435
2020-05-18,88,225886
2020-05-19,89,226699
2020-05-20,90,227364
2020-05-21,91,228006
2020-05-22,92,228658
2020-05-23,93,229327
2020-05-24,94,229858
2020-05-25,95,230158
2020-05-26,96,230555
2020-05-27,97,231139
2020-05-28,98,231732
2020-05-29,99,232248
2020-05-30,100,232664
2020-05-31,101,232997
2020-06-01,102,233197
2020-06-02,103,233515
2020-06-03,104,233836
2020-06-04,105,234013
2020-06-05,106,234531
2020-06-06,107,234801
2020-06-07,108,234998
2020-06-08,109,235278
2020-06-09,110,235561
2020-06-10,111,235763
2020-06-11,112,236142
2020-06-12,113,236305
2020-06-13,114,236651
2020-06-14,115,236989
2020-06-15,116,237290
2020-06-16,117,237500
2020-06-17,118,237828
2020-06-18,119,238159
2020-06-19,120,238011
2020-06-20,121,238275
