date,day,cumulative_confirmed
2020-01-22,0,1
2020-01-23,1,1
2020-01-24,2,2
2020-01-25,3,2
2020-01-26,4,3
2020-01-27,5,4
2020-01-28,6,4
2020-01-29,7,4
2020-01-30,8,4
2020-01-31,9,11
2020-02-01,10,12
2020-02-02,11,15
2020-02-03,12,15
2020-02-04,13,16
2020-02-05,14,19
2020-02-06,15,23
2020-02-07,16,24
2020-02-08,17,24
2020-02-09,18,25
2020-02-10,19,27
2020-02-11,20,28
2020-02-12,21,28
2020-02-13,22,28
2020-02-14,23,28
2020-02-15,24,28
2020-02-16,25,29
2020-02-17,26,30
2020-02-18,27,31
2020-02-19,28,31
2020-02-20,29,104
2020-02-21,30,204
2020-02-22,31,433
2020-02-23,32,602
2020-02-24,33,833
2020-02-25,34,977
2020-02-26,35,1261
2020-02-27,36,1766
2020-02-28,37,2337
2020-02-29,38,3150
2020-03-01,39,3736
2020-03-02,40,4335
2020-03-03,41,5186
2020-03-04,42,5621
2020-03-05,43,6088
2020-03-06,44,6593
2020-03-07,45,7041
2020-03-08,46,7314
2020-03-09,47,7478
2020-03-10,48,7513
2020-03-11,49,7755
2020-03-12,50,7869
2020-03-13,51,7979
2020-03-14,52,8086
2020-03-15,53,8162
2020-03-16,54,8236
2020-03-17,55,8320
2020-03-18,56,8413
2020-03-19,57,8565
2020-03-20,58,8652
2020-03-21,59,8799
2020-03-22,60,8961
2020-03-23,61,8961
2020-03-24,62,9037
2020-03-25,63,9137
2020-03-26,64,9241
2020-03-27,65,9332
2020-03-28,66,9478
2020-03-29,67,9583
2020-03-30,68,9661
2020-03-31,69,9786
2020-04-01,70,9887
2020-04-02,71,9976
2020-04-03,72,10062
2020-04-04,73,10156
2020-04-05,74,10237
2020-04-06,75,10284
2020-04-07,76,10331
2020-04-08,77,10384
2020-04-09,78,10423
2020-04-10,79,10450
2020-04-11,80,10480
2020-04-12,81,10512
2020-04-13,82,10537
2020-04-14,83,10564
2020-04-15,84,10591
2020-04-16,85,10613
2020-04-17,86,10635
2020-04-18,87,10653
2020-04-19,88,10661
2020-04-20,89,10674
2020-04-21,90,10683
2020-04-22,91,10694
2020-04-23,92,10708
2020-04-24,93,10718
2020-04-25,94,10728
2020-04-26,95,10738
2020-04-27,96,10752
2020-04-28,97,10761
2020-04-29,98,10765
2020-04-30,99,10774
2020-05-01,100,10780
2020-05-02,101,10793
2020-05-03,102,10801
2020-05-04,103,10804
2020-05-05,104,10806
2020-05-06,105,10810
2020-05-07,106,10822
2020-05-08,107,10840
2020-05-09,108,10874
2020-05-10,109,10909
2020-05-11,110,10936
2020-05-12,111,10962
2020-05-13,112,10991
2020-05-14,113,11018
2020-05-15,114,11037
2020-05-16,115,11050
2020-05-17,116,11065
2020-05-18,117,11078
2020-05-19,118,11110
2020-05-20,119,11122
2020-05-21,120,11142
2020-05-22,121,11165
