day,observed,nn_only_fitted
0.0,3.0,-1319.5747144827217
1.0,20.0,-852.2394936452648
2.0,62.0,-421.0870568379689
3.0,155.0,-24.112226357431833
4.0,229.0,341.67464166597944
5.0,322.0,680.4452116617906
6.0,453.0,997.7782918718899
7.0,655.0,1300.9129482388419
8.0,888.0,1599.0282873342042
9.0,1128.0,1903.5459389554544
10.0,1694.0,2228.447430788482
11.0,2036.0,2590.593303911254
12.0,2502.0,3010.0236670730624
13.0,3089.0,3510.2107230458046
14.0,3858.0,4118.2226516047795
15.0,4636.0,4864.745584823817
16.0,5883.0,5783.897501588703
17.0,7375.0,6912.75705854486
18.0,9172.0,8290.525479961683
19.0,10149.0,9957.246052189235
20.0,12462.0,11952.030116232014
21.0,15113.0,14310.787240959171
22.0,17660.0,17063.53437316669
23.0,21157.0,20231.461699839107
24.0,24747.0,23824.048755619977
25.0,27980.0,27836.62714740299
26.0,31506.0,32248.83972409299
27.0,35713.0,37024.41235063926
28.0,41035.0,42112.51043113341
29.0,47021.0,47450.70622195795
30.0,53578.0,52969.2829471097
31.0,59138.0,58596.32694714786
32.0,63927.0,64262.89275510175
33.0,69176.0,69907.52121201299
34.0,74386.0,75479.54722140479
35.0,80589.0,80940.89854711774
36.0,86498.0,86266.37867531921
37.0,92472.0,91442.66852745027
38.0,97689.0,96466.4273205566
39.0,101739.0,101341.9136906902
40.0,105792.0,106078.50544306768
41.0,110574.0,110688.40471671958
42.0,115242.0,115184.70874721646
43.0,119827.0,119579.92913773487
44.0,124632.0,123884.96741261816
45.0,128948.0,128108.50490405556
46.0,132547.0,132256.7380149961
47.0,135586.0,136333.38024927874
48.0,139422.0,140339.85436602854
49.0,143626.0,144275.60670164903
50.0,147577.0,148138.48747214596
51.0,152271.0,151925.15330560537
52.0,156363.0,155631.4599260985
53.0,159516.0,159252.8230843778
54.0,162488.0,162784.53423290417
55.0,165155.0,166222.024071644
56.0,168941.0,169561.0720930798
57.0,172434.0,172797.96384448273
58.0,175925.0,175929.60003810568
59.0,178972.0,178953.56310536817
60.0,181228.0,181868.1475199044
61.0,183957.0,184672.36039151583
62.0,187327.0,187365.8986160213
63.0,189973.0,189949.10838477494
64.0,192994.0,192422.93221661611
65.0,195351.0,194788.84795534375
66.0,197675.0,197048.8034381398
67.0,199414.0,199205.14982794033
68.0,201505.0,201260.57594435927
69.0,203591.0,203218.04534061867
70.0,205463.0,205080.73736628512
71.0,207428.0,206851.9930290578
72.0,209328.0,208535.26612033218
73.0,210717.0,210134.07979265176
74.0,211938.0,211651.9885645747
75.0,213013.0,213092.54557122718
76.0,214457.0,214459.27476814302
77.0,215858.0,215755.64772352626
78.0,217185.0,216985.06459217815
79.0,218268.0,218150.83884622934
80.0,219070.0,219256.18533768272
81.0,219814.0,220304.21128071257
82.0,221216.0,221297.90976366156
83.0,222104.0,222240.15542852186
84.0,223096.0,223133.70198684823
85.0,223885.0,223981.18127362337
86.0,224760.0,224785.1035731396
87.0,225435.0,225547.85898247597
88.0,225886.0,226271.71960793587
89.0,226699.0,226958.84241743968
90.0,227364.0,227611.27259710207
91.0,228006.0,228230.94728297397
92.0,228658.0,228819.69955920885
93.0,229327.0,229379.2626318192
94.0,229858.0,229911.27410285175
95.0,230158.0,230417.28028340853
96.0,230555.0,230898.74049565246
97.0,231139.0,231357.03132395406
98.0,231732.0,231793.4507838456
99.0,232248.0,232209.22238462607
100.0,232664.0,232605.4990674766
101.0,232997.0,232983.36700594652
102.0,233197.0,233343.84925980473
103.0,233515.0,233687.90927663087
104.0,233836.0,234016.45423827055
105.0,234013.0,234330.3382514832
106.0,234531.0,234630.36538386456
107.0,234801.0,234917.29254749606
108.0,234998.0,235191.83223382776
109.0,235278.0,235454.6551040924
110.0,235561.0,235706.39244012197
111.0,235763.0,235947.63846083847
112.0,236142.0,236178.95250994354
113.0,236305.0,236400.8611204711
114.0,236651.0,236613.859961916
115.0,236989.0,236818.4156756265
116.0,237290.0,237014.96760406622
117.0,237500.0,237203.92941942895
118.0,237828.0,237385.69065693385
119.0,238159.0,237560.61815794816
120.0,238011.0,237729.05742789214
121.0,238275.0,237891.3339136737
