day,observed,nn_only_fitted
0.0,1.0,-64.61645980275317
1.0,1.0,-43.96004412545757
2.0,2.0,-25.53010784465405
3.0,2.0,-9.329642680685794
4.0,3.0,4.653226927587626
5.0,4.0,16.44622184214107
6.0,4.0,26.093685749472534
7.0,4.0,33.657127151226874
8.0,4.0,39.215503911078706
9.0,11.0,42.865249856177
10.0,12.0,44.72007495812187
11.0,15.0,44.91061605232499
12.0,15.0,43.5840772608008
13.0,16.0,40.90408238973933
14.0,19.0,37.05107073858765
15.0,23.0,32.223709539975104
16.0,24.0,26.641979071777516
17.0,24.0,20.552821146347277
18.0,25.0,14.23954181031137
19.0,27.0,8.036541189866162
20.0,28.0,2.3514259535006725
21.0,28.0,-2.3028398968662733
22.0,28.0,-5.262363847834573
23.0,28.0,-5.649115596039126
24.0,28.0,-2.2849912716268608
25.0,29.0,6.422651078574003
26.0,30.0,22.629928537640925
27.0,31.0,49.244541625948216
28.0,31.0,90.15364357619379
29.0,104.0,150.4826094336646
30.0,204.0,236.857296877105
31.0,433.0,357.6099369179468
32.0,602.0,522.8183169402595
33.0,833.0,744.0011874653434
34.0,977.0,1033.2283482316802
35.0,1261.0,1401.3927682600913
36.0,1766.0,1855.5269935256672
37.0,2337.0,2395.42970903749
38.0,3150.0,3010.499023091903
39.0,3736.0,3678.2679909839785
40.0,4335.0,4366.122992674587
41.0,5186.0,5036.584453264945
42.0,5621.0,5654.687534491271
43.0,6088.0,6194.689970119767
44.0,6593.0,6643.667393487751
45.0,7041.0,7001.277814823968
46.0,7314.0,7276.729868962217
47.0,7478.0,7484.708094996614
48.0,7513.0,7641.684765644853
49.0,7755.0,7763.306883709275
50.0,7869.0,7862.928387179255
51.0,7979.0,7951.042390529246
52.0,8086.0,8035.295641458092
53.0,8162.0,8120.816584602945
54.0,8236.0,8210.671241378628
55.0,8320.0,8306.335270524243
56.0,8413.0,8408.123864326164
57.0,8565.0,8515.554867252862
58.0,8652.0,8627.63985602422
59.0,8799.0,8743.107908484246
60.0,8961.0,8860.57114721276
61.0,8961.0,8978.642344677928
62.0,9037.0,9096.0144477218
63.0,9137.0,9211.51071672436
64.0,9241.0,9324.11277769973
65.0,9332.0,9432.972512275914
66.0,9478.0,9537.412479670573
67.0,9583.0,9636.918517580736
68.0,9661.0,9731.127306441062
69.0,9786.0,9819.810986410306
70.0,9887.0,9902.860364813449
71.0,9976.0,9980.267819224679
72.0,10062.0,10052.110665811852
73.0,10156.0,10118.535505047636
74.0,10237.0,10179.743861713012
75.0,10284.0,10235.97929043268
76.0,10331.0,10287.516011365815
77.0,10384.0,10334.649064692168
78.0,10423.0,10377.685920358244
79.0,10450.0,10416.939445670772
80.0,10480.0,10452.722113308037
81.0,10512.0,10485.341322610124
82.0,10537.0,10515.09570478238
83.0,10564.0,10542.272285679992
84.0,10591.0,10567.144386408736
85.0,10613.0,10589.970150756651
86.0,10635.0,10610.991598471132
87.0,10653.0,10630.434113887564
88.0,10661.0,10648.506289879491
89.0,10674.0,10665.400057179704
90.0,10683.0,10681.29103858575
91.0,10694.0,10696.339076274679
92.0,10708.0,10710.68888834343
93.0,10718.0,10724.470817745385
94.0,10728.0,10737.801643027908
95.0,10738.0,10750.785425729946
96.0,10752.0,10763.514374028204
97.0,10761.0,10776.069706286491
98.0,10765.0,10788.522501631216
99.0,10774.0,10800.934527611798
100.0,10780.0,10813.359037469996
101.0,10793.0,10825.841531596347
102.0,10801.0,10838.420479448467
103.0,10804.0,10851.127999594839
104.0,10806.0,10863.990496672352
105.0,10810.0,10877.029254946096
106.0,10822.0,10890.260988869924
107.0,10840.0,10903.698351596497
108.0,10874.0,10917.350402802165
109.0,10909.0,10931.223037497975
110.0,10936.0,10945.319377712402
111.0,10962.0,10959.64012907157
112.0,10991.0,10974.183904381942
113.0,11018.0,10988.947516351791
114.0,11037.0,11003.926241580457
115.0,11050.0,11019.114057907538
116.0,11065.0,11034.503857154521
117.0,11078.0,11050.087635214955
118.0,11110.0,11065.856661360725
119.0,11122.0,11081.80162853558
120.0,11142.0,11097.912786305591
121.0,11165.0,11114.18005803262
